title,url,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Beautiful People Beautiful Problems (feat. Stevie Nicks),https://open.spotify.com/track/6ny7kbH529rZfHp4UFVDiP,LANA DEL REY,0.45,0.41,5,-8.354,1,0.0321,0.832,0.000242,0.091,0.144,122.913,253532,4
A$AP Ferg,https://open.spotify.com/track/5z9QQQ9lAb0fLxbwYf1HCV,"NAV, METRO BOOMIN, LIL UZI VERT",0.578,0.398,11,-8.976,0,0.423,0.174,0.0,0.0794,0.301,140.053,257493,4
Cherry,https://open.spotify.com/track/6eGMMPRVYzpssGgednRvzU,LANA DEL REY,0.355,0.541,8,-9.667,0,0.0608,0.0457,0.00516,0.316,0.337,123.524,180902,3
Groupie Love (feat. A$AP Rocky),https://open.spotify.com/track/3tWa5qmAJ2OsHV6KxNZBxc,LANA DEL REY,0.347,0.594,9,-7.33,1,0.0423,0.111,1.91e-06,0.11,0.163,175.944,264038,4
Love,https://open.spotify.com/track/4xyNG8vZR3g8FnphVkbjRo,LANA DEL REY,0.325,0.377,10,-10.911,1,0.0345,0.492,0.00314,0.111,0.278,98.87,272743,4
White Mustang,https://open.spotify.com/track/2Pn76oik9rWyoBShTSNY9Q,LANA DEL REY,0.652,0.462,6,-8.683,0,0.0487,0.428,0.00226,0.107,0.265,114.932,164710,4
Call Me,https://open.spotify.com/track/6vLrN5q3FiQQGQ6LtHmadx,"NAV, METRO BOOMIN",0.672,0.39,9,-8.552,0,0.111,0.444,0.00166,0.124,0.134,170.086,215067,4
In My Feelings,https://open.spotify.com/track/7vHmfnKJMWYWzS1H3dC5VF,LANA DEL REY,0.551,0.677,2,-6.347,1,0.0893,0.0589,0.0566,0.112,0.293,89.961,238719,4
13 Beaches,https://open.spotify.com/track/4mq14Qa6OehdiyZFtHcdCH,LANA DEL REY,0.415,0.402,7,-9.063,1,0.0354,0.556,0.0677,0.198,0.237,144.033,295569,4
Minute,https://open.spotify.com/track/3JWh19WsndEFg0UFRFeTiU,"NAV, METRO BOOMIN, PLAYBOI CARTI, OFFSET",0.68,0.549,5,-8.277,0,0.244,0.0919,7.14e-05,0.548,0.29,162.874,265373,4
Get Some,https://open.spotify.com/track/5Gk0ZZ9b887U85L69rz6tu,"GHOSTED, KAMILLE",0.577,0.524,0,-7.599,1,0.316,0.098,0.0,0.228,0.566,179.782,197173,4
Ahead Of Myself,https://open.spotify.com/track/5KrEN8aGZnvS2UU6molPFs,X AMBASSADORS,0.587,0.542,5,-7.876,1,0.034,0.0014,0.0,0.0906,0.371,89.991,223147,4
Tomorrow Never Came (feat. Sean Ono Lennon),https://open.spotify.com/track/6VZwnDUMkAZs36g6v9MVQX,LANA DEL REY,0.297,0.402,0,-9.757,1,0.0346,0.819,0.000181,0.109,0.177,138.019,307540,4
The Race,https://open.spotify.com/track/5RCfvwDewu6p2x1mEI6smX,TAY-K,0.788,0.533,9,-7.594,1,0.352,0.0168,0.0,0.204,0.468,80.04,140945,4
Run For Cover,https://open.spotify.com/track/6Xyn0CrKfHeAo5eI8I1cDj,THE KILLERS,0.461,0.957,5,-3.306,1,0.139,0.00156,0.00385,0.313,0.461,165.092,223067,4
Worst In Me,https://open.spotify.com/track/3rK43VNP0142Kbxt8nuAhD,JULIA MICHAELS,0.678,0.627,6,-8.008,1,0.0613,0.0704,0.0,0.17,0.252,105.956,206720,4
Spice Girl,https://open.spotify.com/track/6hSkTXRf0Tl8ZvicBG9QHO,AMINÉ,0.602,0.459,10,-7.789,1,0.264,0.395,0.0,0.153,0.846,79.035,173947,4
do re mi (feat. Gucci Mane),https://open.spotify.com/track/22Y3qQ0mtEPhmCosbdBaZ3,BLACKBEAR,0.739,0.663,8,-6.331,1,0.0601,0.0058,0.0,0.212,0.196,112.025,233705,3
Unforgettable,https://open.spotify.com/track/5gGzdI9iL69WSNesDNNodS,THOMAS RHETT,0.664,0.743,7,-5.537,1,0.0293,0.0293,9.42e-05,0.0897,0.821,130.03,157080,4
Wedding Crashers,https://open.spotify.com/track/3o1pRJWyP3dlSgHYSywYnZ,"AMINÉ, OFFSET",0.844,0.487,11,-8.015,0,0.3,0.0242,0.0,0.0402,0.942,136.0,229800,4
Unforgettable,https://open.spotify.com/track/0ZiRSqlSsDlY0UyDYU9CTE,THOMAS RHETT,0.66,0.745,7,-5.499,1,0.0307,0.0294,0.0002,0.0831,0.828,130.074,157080,4
Wedding Crashers,https://open.spotify.com/track/3nVDOYBJpdCkRR6r1DbZum,"AMINÉ, OFFSET",0.853,0.496,11,-7.984,0,0.243,0.026,0.0,0.0421,0.947,135.99,229800,4
Perplexing Pegasus,https://open.spotify.com/track/0E8CA9JBoEs3tD0JQJUpQb,RAE SREMMURD,0.898,0.447,1,-8.849,1,0.0772,0.000676,1.04e-05,0.365,0.308,145.964,204787,4
Issues,https://open.spotify.com/track/0xG0SHshCStMEyNbNC5d4k,JULIA MICHAELS,0.67,0.415,8,-6.855,1,0.0786,0.39,0.0,0.0617,0.445,114.212,176320,4
Water,https://open.spotify.com/track/7EoSDrwBPUBeBEORrpvgko,UGLY GOD,0.816,0.245,0,-15.617,0,0.414,0.616,0.000813,0.127,0.187,140.04,138936,4
Sixteen,https://open.spotify.com/track/1f7CEUAJvPcZLihlP5CAQI,THOMAS RHETT,0.703,0.525,1,-7.009,1,0.0275,0.0147,2.33e-06,0.15,0.425,106.97,178333,4
Learn To Let Go,https://open.spotify.com/track/1g1TeDflB6atAy7HKwrzXu,KESHA,0.515,0.847,5,-2.951,1,0.0391,0.00369,7.19e-05,0.293,0.645,168.105,217547,4
Hymn,https://open.spotify.com/track/1JuChOEPH0Rceq573FGQSK,KESHA,0.488,0.538,6,-4.974,1,0.076,0.147,0.0,0.305,0.378,67.037,205600,4
Imperfections,https://open.spotify.com/track/6FP1Eh4MuOVvc772uUXnQr,"STARRAH, DIPLO",0.787,0.484,7,-6.01,0,0.0644,0.506,1.67e-05,0.115,0.384,141.948,203079,4
Small Town Boy,https://open.spotify.com/track/76lgcpdPtw5hHu3A6LuGZe,DUSTIN LYNCH,0.554,0.743,9,-6.016,1,0.0287,0.0251,0.0,0.359,0.673,72.997,205733,4
Friends (with BloodPop®),https://open.spotify.com/track/7iNIg7XDEaYECfWD5dJ9Va,JUSTIN BIEBER,0.743,0.735,8,-5.337,1,0.0382,0.00389,0.0,0.304,0.631,104.979,189467,4
It Wasn't Me,https://open.spotify.com/track/1lzr43nnXAijIGYnCT8M8H,"SHAGGY, RIK ROK",0.853,0.606,0,-4.596,1,0.0713,0.0561,0.0,0.313,0.654,94.759,227600,4
Nasty (Who Dat) (feat. Migos),https://open.spotify.com/track/76T8y91xMLWJgfsEsmWGxW,A$AP FERG,0.661,0.636,4,-4.551,0,0.118,0.0203,2.25e-05,0.378,0.428,179.041,209813,4
Grave,https://open.spotify.com/track/6hOXZU0LaHatd55NMohYdk,THOMAS RHETT,0.554,0.643,5,-5.471,1,0.0286,0.0472,0.0,0.136,0.614,142.031,193693,4
Plain Jane,https://open.spotify.com/track/3CrGhzG1oFEpgyK9XlxrXq,A$AP FERG,0.795,0.845,11,-5.489,1,0.272,0.0787,0.0,0.118,0.504,170.073,173254,4
Greatest Love Story,https://open.spotify.com/track/0kdiUZDcLIFw0Buo9r0Q4z,LANCO,0.665,0.621,10,-8.571,1,0.0524,0.38,0.0,0.119,0.632,147.975,222400,4
Glow Like Dat,https://open.spotify.com/track/4Tulf6yVo59f2ofSi3YUqW,RICH BRIAN,0.787,0.586,10,-9.64,1,0.0695,0.411,0.000311,0.118,0.581,140.036,210862,4
tonite,https://open.spotify.com/track/4gKfuzqb1o1uAXr2xCMSQ7,LCD SOUNDSYSTEM,0.767,0.787,2,-8.28,1,0.0566,0.0678,0.00509,0.43,0.839,121.102,347347,4
Criminal,https://open.spotify.com/track/3dINUTtt8noTn16rHcpTTp,"NATTI NATASHA, OZUNA",0.816,0.806,2,-3.023,0,0.0563,0.0347,9.01e-05,0.255,0.822,79.987,232550,4
Refugee,https://open.spotify.com/track/0FNKhGLRhx5FBl0t28EU2K,SKIP MARLEY,0.644,0.836,11,-4.058,0,0.0892,0.0283,0.0,0.126,0.825,91.015,210960,4
Two High,https://open.spotify.com/track/0Z9HQ8YvHqdeOjTwsR3cS7,MOON TAXI,0.65,0.765,11,-4.603,0,0.0464,0.0933,0.00457,0.119,0.475,107.015,213226,4
GUMMY,https://open.spotify.com/track/0FoegIiBvM4ND2CkPkt7Ve,BROCKHAMPTON,0.707,0.74,0,-3.552,0,0.064,0.165,0.0,0.315,0.71,80.033,260833,4
No Such Thing as a Broken Heart,https://open.spotify.com/track/0OlS52TmtK2gPaEtdmr7DN,OLD DOMINION,0.651,0.782,8,-4.295,1,0.0718,0.295,0.0,0.107,0.945,171.987,176893,4
"Feels So Good (feat. A$AP Ferg, A$AP Nast, A$AP Rocky & A$AP Twelvyy)",https://open.spotify.com/track/28mIIBZt0jAe8k9g52NOsX,A$AP MOB,0.877,0.375,10,-10.83,1,0.304,0.333,0.0103,0.101,0.0832,77.028,205267,4
Down,https://open.spotify.com/track/20H2Hd5AkUcRjB4yL3UQtJ,"FIFTH HARMONY, GUCCI MANE",0.53,0.512,8,-7.094,1,0.133,0.0162,7.04e-05,0.128,0.401,196.121,165200,4
Sky Walker (feat. Travis Scott),https://open.spotify.com/track/1DRW9bQzt2SE8f7H4KJZyL,MIGUEL,0.629,0.717,6,-5.706,1,0.0638,0.0876,0.0,0.358,0.129,145.959,260077,4
Tell Me You Love Me,https://open.spotify.com/track/65MOTX6uSFAnqXl7dlAuId,DEMI LOVATO,0.419,0.585,6,-5.435,1,0.0741,0.0258,0.0,0.143,0.256,72.635,236987,4
Look What You Made Me Do,https://open.spotify.com/track/2VjtYe7gpfUi2OkGxR2O2z,TAYLOR SWIFT,0.767,0.671,9,-6.416,0,0.142,0.21,1.12e-05,0.129,0.474,128.072,211859,4
JUNKY,https://open.spotify.com/track/7ujucw8kFBPIy9mz7DlmAq,BROCKHAMPTON,0.638,0.662,1,-5.497,1,0.404,0.316,0.0,0.258,0.675,82.327,248781,4
"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",https://open.spotify.com/track/4pdgV8qr9Oytcv6thCdiIZ,A$AP MOB,0.848,0.663,8,-5.606,0,0.245,0.523,0.0,0.108,0.333,133.993,255413,4
What Lovers Do (feat. SZA),https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt,MAROON 5,0.795,0.608,5,-5.222,0,0.0694,0.0767,2.92e-06,0.0853,0.386,110.001,199849,4
Starving,https://open.spotify.com/track/6875MeXyCW0wLyT72Eetmo,"HAILEE STEINFELD, GREY, ZEDD",0.668,0.613,4,-4.225,1,0.102,0.414,0.0,0.102,0.498,99.852,181933,4
What Lovers Do (feat. SZA),https://open.spotify.com/track/6YVpU5vVxezJCYeQUxIkRT,MAROON 5,0.799,0.597,5,-5.131,0,0.0611,0.0788,5.66e-06,0.1,0.419,110.001,199849,4
Life Changes,https://open.spotify.com/track/3ddGkOciDpBIKYO5V2GY4N,THOMAS RHETT,0.688,0.85,7,-4.48,1,0.065,0.098,0.0,0.043,0.826,87.985,190227,4
Gucci Gang,https://open.spotify.com/track/6foxplXS0YEq8cO374Lty4,LIL PUMP,0.95,0.533,5,-7.022,1,0.148,0.247,0.0,0.114,0.675,119.869,124056,4
...Ready For It?,https://open.spotify.com/track/19WjVVgXjdKXfLXoaDPwTM,TAYLOR SWIFT,0.616,0.77,2,-6.5,1,0.142,0.0573,0.0,0.159,0.412,160.049,208198,4
Too Hotty,https://open.spotify.com/track/6EvIHxVMUSGrEMnPeb0COh,"QUALITY CONTROL, MIGOS, EURIELLE",0.875,0.395,1,-7.268,1,0.257,0.172,0.0,0.105,0.154,129.952,297377,4
Sixteen,https://open.spotify.com/track/7CxRCfRkizchpymeAQmidV,THOMAS RHETT,0.705,0.529,1,-7.003,1,0.0273,0.0145,1.77e-06,0.174,0.431,106.966,178333,4
Unforgettable,https://open.spotify.com/track/3d0UvSeEHiTvWSIP9SjU6K,THOMAS RHETT,0.665,0.749,7,-5.507,1,0.0293,0.0288,0.000102,0.0835,0.814,130.05,157080,4
Marry Me,https://open.spotify.com/track/4Io3yZB2oI5KrGLP1REVG1,THOMAS RHETT,0.438,0.403,3,-8.572,1,0.0258,0.112,0.0,0.132,0.458,84.787,205453,4
Life Changes,https://open.spotify.com/track/5x15UYkAGFVFfKnHqG6n2l,THOMAS RHETT,0.688,0.847,7,-4.422,1,0.0666,0.112,0.0,0.0431,0.765,87.971,190227,4
Grave,https://open.spotify.com/track/5dOQ2CJh3G0KoLCPj8nHHh,THOMAS RHETT,0.55,0.65,5,-5.433,1,0.0301,0.0431,0.0,0.136,0.556,141.986,193680,4
Sweetheart,https://open.spotify.com/track/64FbYbMPiW3XgjKsyhzReM,THOMAS RHETT,0.366,0.718,0,-6.502,0,0.0284,0.0274,2.17e-06,0.358,0.806,108.975,205267,3
Craving You,https://open.spotify.com/track/4EDV8s0WpNfW2wIU7wElLQ,"THOMAS RHETT, MAREN MORRIS",0.611,0.844,9,-3.763,0,0.0359,0.000774,0.0,0.337,0.548,104.985,223627,4
Betrayed,https://open.spotify.com/track/3al2hpm92xE0pBalqWQHdD,LIL XAN,0.827,0.419,10,-10.329,0,0.112,0.413,0.0,0.115,0.227,119.974,187250,4
Criminal,https://open.spotify.com/track/2SmgFAhQkQCQPyBiBxR6Te,"NATTI NATASHA, OZUNA",0.816,0.806,2,-3.023,0,0.0563,0.0347,9.01e-05,0.255,0.822,79.987,232550,4
Falls (feat. Sasha Sloan),https://open.spotify.com/track/4v0H0JBon5WDXAAQMJU9re,ODESZA,0.449,0.699,6,-6.024,1,0.116,0.0397,0.000106,0.136,0.196,160.833,232937,4
Leave Right Now,https://open.spotify.com/track/4bhQq99HRP0whXut7pM5vV,THOMAS RHETT,0.341,0.576,4,-7.142,1,0.0559,0.00732,0.0,0.142,0.336,147.913,195667,4
No Limit,https://open.spotify.com/track/2Xqd0wUttjueBfdcltADOv,"G-EAZY, A$AP ROCKY, CARDI B",0.838,0.771,1,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957,245387,4
"Let Me Go (with Alesso, Florida Georgia Line & watt)",https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p,HAILEE STEINFELD,0.664,0.708,8,-4.154,1,0.0474,0.0337,0.0,0.0841,0.742,103.07,174800,4
Sixteen,https://open.spotify.com/track/3pJkBPHadRAxBBo484RipI,THOMAS RHETT,0.705,0.531,1,-7.031,1,0.0281,0.0135,2.11e-06,0.165,0.425,107.013,178333,4
Craving You,https://open.spotify.com/track/2d48mamATjby7wgPjdrSOQ,"THOMAS RHETT, MAREN MORRIS",0.613,0.839,9,-3.799,0,0.0352,0.000854,0.0,0.341,0.526,104.975,223627,4
Day I Die,https://open.spotify.com/track/3ysiD7ZgsPc3xgGJ59DpS7,THE NATIONAL,0.432,0.947,2,-5.442,1,0.0945,0.00389,0.711,0.0777,0.382,147.97,271533,4
Life Changes,https://open.spotify.com/track/4Vxu50qVrQcycjRyJQaZLC,THOMAS RHETT,0.687,0.845,7,-4.37,1,0.0576,0.1,0.0,0.0452,0.809,87.972,190227,4
Too Good At Goodbyes,https://open.spotify.com/track/7oAraczbemGSNWqnbkU87R,SAM SMITH,0.515,0.378,5,-8.264,1,0.065,0.618,0.0,0.172,0.536,91.883,201000,4
My Own Hymn,https://open.spotify.com/track/2bxhuEyxaBDr4LOukHkdDD,"ABOVE & BEYOND, ZOË JOHNSTON",0.571,0.646,9,-8.668,0,0.0407,0.179,0.000444,0.112,0.211,127.97,230625,4
rockstar,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,"POST MALONE, 21 SAVAGE",0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,218320,4
Too Much To Ask,https://open.spotify.com/track/2NkbRmygVirMQFCjSkyY7Q,NIALL HORAN,0.508,0.534,0,-6.522,1,0.0376,0.366,0.0,0.126,0.222,153.61,223044,4
rockstar,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R,"POST MALONE, 21 SAVAGE",0.58,0.531,5,-6.631,0,0.0776,0.128,0.000127,0.143,0.141,159.786,218320,4
"Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)",https://open.spotify.com/track/4YkwUfWSIxdKNLDXw0caFO,CHRIS BROWN,0.82,0.696,7,-4.918,0,0.182,0.119,0.0,0.231,0.617,144.981,292910,4
Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),https://open.spotify.com/track/7uoMPWQIGU8wwrPrc94x1m,A BOOGIE WIT DA HOODIE,0.611,0.478,0,-5.839,1,0.107,0.035,0.0,0.107,0.138,172.076,258158,4
Let You Down,https://open.spotify.com/track/3gWu8y0TKCIdy2mpTqVnTl,NF,0.658,0.715,5,-5.688,0,0.122,0.319,0.0,0.181,0.473,147.993,212120,4
Unknown (To You),https://open.spotify.com/track/7yfrSTEhzhm3UtoZ5xEpzG,JACOB BANKS,0.312,0.548,8,-5.128,0,0.0431,0.881,0.000805,0.127,0.25,129.622,233200,4
Marmalade (feat. Lil Yachty),https://open.spotify.com/track/7bsnTsbiwOymZWjPF9v6Di,MACKLEMORE,0.922,0.583,5,-4.982,1,0.0753,0.0098,0.0,0.0962,0.494,136.043,261615,4
Shooters,https://open.spotify.com/track/3WNx4pJLzQgYapuBWS4mUG,TORY LANEZ,0.625,0.535,9,-6.813,1,0.0577,0.108,0.0,0.747,0.129,129.931,207023,4
Broke,https://open.spotify.com/track/7A2dius6RtCZDWbJmNe6gQ,LECRAE,0.74,0.651,0,-4.932,1,0.242,0.0346,1.02e-06,0.123,0.176,120.106,179880,4
Some Kind Of Love,https://open.spotify.com/track/0OSRvCc5iSV3GWsNGRGUNx,THE KILLERS,0.396,0.489,8,-9.915,1,0.0375,0.716,0.282,0.102,0.0758,141.89,278093,4
New Fears,https://open.spotify.com/track/3sm1DwUUyiLJ554xI2xopb,LIGHTS,0.37,0.628,6,-4.276,0,0.0558,0.439,0.0,0.182,0.154,183.714,226307,3
Glorious (feat. Skylar Grey),https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE,MACKLEMORE,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,220454,4
Truth Hurts,https://open.spotify.com/track/5Qel1sTrU4LM8HlJSPT2jd,LIZZO,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,173325,4
Split Stones,https://open.spotify.com/track/7l9joJ1CFiSZukme7ek79a,MAGGIE ROGERS,0.711,0.684,7,-7.456,1,0.0537,0.136,0.0,0.108,0.274,135.555,231131,4
"Get to the Money (feat. Troyse, Cito G & Flames)",https://open.spotify.com/track/02fz78B6Mo1uso0Zl41XRv,CHAD FOCUS,0.572,0.855,2,-6.213,0,0.386,0.342,3.61e-06,0.1,0.597,139.554,237923,4
Numb,https://open.spotify.com/track/1vc2YF7ZvUtwr45HNpdGch,21 SAVAGE,0.839,0.436,5,-11.344,0,0.285,0.0438,2.7e-06,0.131,0.464,82.009,271307,4
Sorry Not Sorry,https://open.spotify.com/track/43RG7aUiRDmfc8q2vQfiFc,DEMI LOVATO,0.705,0.623,11,-6.921,0,0.239,0.0217,0.0,0.281,0.863,144.021,203760,4
Audi.,https://open.spotify.com/track/4jltAtO3VR07DSKHP30zKa,SMOKEPURPP,0.79,0.373,1,-10.05,1,0.143,0.0176,0.0,0.103,0.241,122.969,159522,4
Say A',https://open.spotify.com/track/3AMnOVxEHUgVrythGgqPhI,A BOOGIE WIT DA HOODIE,0.831,0.814,5,-5.18,1,0.474,0.391,0.0,0.109,0.846,161.041,214854,4
Younger Now,https://open.spotify.com/track/2fGxYYMQbVqgIdaqfz2OwA,MILEY CYRUS,0.548,0.873,4,-4.881,1,0.0618,0.00129,4.55e-05,0.138,0.328,121.918,248773,4
Malibu,https://open.spotify.com/track/1UZOjK1BwmwWU14Erba9CZ,MILEY CYRUS,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64e-05,0.0813,0.343,139.934,231907,4
Audi.,https://open.spotify.com/track/0IMmUE0XiVMuDbtsyciyrn,SMOKEPURPP,0.795,0.378,7,-10.048,1,0.131,0.0185,0.0,0.0974,0.266,122.982,159522,4
Mr. Brightside,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN,THE KILLERS,0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587,4
Take Back Home Girl (Feat. Tori Kelly),https://open.spotify.com/track/2gVBXeTjwL0ZEh9gjsQjk0,CHRIS LANE,0.494,0.78,11,-3.825,1,0.064,0.368,0.0,0.0921,0.664,159.708,211427,4
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",https://open.spotify.com/track/69Naniu2KjKjaQOBUagE8U,LORDE,0.541,0.557,0,-5.094,0,0.173,0.272,0.0,0.156,0.173,106.122,214255,4
On Me,https://open.spotify.com/track/576JCUaqor63kCrYkP5Z5e,"QUALITY CONTROL, LIL YACHTY, YOUNG THUG",0.922,0.622,0,-4.509,1,0.203,0.109,0.0,0.162,0.821,134.941,216209,4
Audi.,https://open.spotify.com/track/2INqEk4ko5AsGVLBsiKiQe,SMOKEPURPP,0.793,0.366,7,-10.051,1,0.136,0.0214,0.0,0.0964,0.278,122.991,159522,4
OK (feat. Lil Pump),https://open.spotify.com/track/5zM11OjQnOzRiRQq6IPFgg,SMOKEPURPP,0.875,0.587,8,-7.565,1,0.384,0.0141,0.0,0.19,0.586,146.015,126761,4
Rubbin off the Paint,https://open.spotify.com/track/6mlUWDD19uRT9ysY54D98x,YBN NAHMIR,0.625,0.635,1,-18.287,1,0.579,0.0137,0.0,0.381,0.2,161.928,175641,4
Underdog,https://open.spotify.com/track/18i9mG58WcAWiRP68DYanN,BANKS,0.684,0.608,0,-6.834,1,0.174,0.315,2.88e-06,0.106,0.436,87.965,278532,4
10 Feet Down,https://open.spotify.com/track/4fI5Ea4TThfaEGJszi3eH9,"NF, RUELLE",0.471,0.846,5,-6.59,1,0.272,0.0862,1.19e-05,0.271,0.0717,191.982,217107,4
Bust Down,https://open.spotify.com/track/34hJwhU36GGSYmtO2T7g4s,TRIPPIE REDD,0.728,0.813,4,-4.238,0,0.145,0.346,2.33e-05,0.147,0.688,73.005,245229,4
D Rose,https://open.spotify.com/track/1fEl5TPKRJAsuP6TqZ23hB,LIL PUMP,0.781,0.553,0,-4.277,1,0.0735,0.201,0.000233,0.383,0.308,121.968,135497,4
Boss,https://open.spotify.com/track/1rsAFUCa6BVMgRQ3FCQQsi,LIL PUMP,0.803,0.789,10,-3.434,0,0.0383,0.0304,0.0,0.378,0.647,119.999,106021,4
Flex Like Ouu,https://open.spotify.com/track/2hJWZvTw4QVBwC14ZNs1Ib,LIL PUMP,0.858,0.435,6,-11.286,1,0.0661,0.189,0.0,0.0925,0.704,141.993,108213,4
Bust Down,https://open.spotify.com/track/3vWxQ6wOfMr8zH1u7pVFI6,TRIPPIE REDD,0.722,0.821,2,-4.167,1,0.172,0.337,2.12e-05,0.15,0.659,73.015,245229,4
Let You Down,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL,NF,0.662,0.714,5,-5.68,0,0.121,0.312,0.0,0.179,0.464,147.997,212120,4
Pray,https://open.spotify.com/track/3BgvCj5oUc8jpL8YCB9y8S,SAM SMITH,0.463,0.388,7,-9.367,1,0.0437,0.282,2.54e-06,0.0866,0.166,77.415,221596,5
RUN IT UP,https://open.spotify.com/track/6Jz6C4VVi7hmQeC4rDt3A2,"DAME D.O.L.L.A, LIL WAYNE",0.728,0.835,7,-4.231,1,0.067,0.00376,3.07e-05,0.0894,0.552,90.0,240185,4
Rubbin off the Paint,https://open.spotify.com/track/16qXgDYtEBOTC8elfnU975,YBN NAHMIR,0.516,0.459,1,-17.459,1,0.432,0.00934,0.0,0.286,0.398,108.109,156134,5
Tone It Down (feat. Chris Brown),https://open.spotify.com/track/3l4ha5okkyLgMAFIKRSNVG,GUCCI MANE,0.759,0.656,8,-5.596,1,0.0679,0.127,0.0,0.102,0.59,130.949,218840,4
Real Thing (feat. Future),https://open.spotify.com/track/30zIhIH1XViWRNqmaDZ48u,TORY LANEZ,0.664,0.507,7,-8.219,0,0.383,0.00834,0.0,0.472,0.343,160.058,243146,4
New,https://open.spotify.com/track/7y4JznkAv2W3IKw9T1o2VK,DAYA,0.717,0.743,0,-4.337,1,0.0322,0.0473,8.81e-06,0.368,0.321,106.919,230880,4
Til I Get Found,https://open.spotify.com/track/0Dhu0NYsR9eB8Qr0WdYQwt,MARC E. BASSY,0.767,0.717,10,-6.483,0,0.0776,0.0683,0.0,0.293,0.393,104.986,222147,4
Beautiful Trauma,https://open.spotify.com/track/2DlIwu1iDTILEMXA7MUotn,P!NK,0.412,0.619,7,-6.39,1,0.0723,0.0868,2.55e-06,0.4,0.234,95.943,250053,4
Most Girls,https://open.spotify.com/track/10GJQkjRJcZhGTLagFOC62,HAILEE STEINFELD,0.756,0.572,9,-7.019,1,0.0763,0.0478,0.0,0.0853,0.417,102.986,204400,4
Curve (feat. The Weeknd),https://open.spotify.com/track/2yuyaYAELoMG4ApV5wJsWR,GUCCI MANE,0.76,0.476,8,-8.103,1,0.241,0.294,0.0,0.1,0.354,147.01,161990,4
Sorry Not Sorry,https://open.spotify.com/track/3Du2K5dLzmduCNp6uwuaL0,DEMI LOVATO,0.702,0.635,11,-6.917,0,0.265,0.0223,0.0,0.283,0.873,144.004,203760,4
What About Us,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb,P!NK,0.491,0.588,1,-6.177,1,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608,269600,4
Eyes On You,https://open.spotify.com/track/2u7Nm46dAujcAi5Rw79CJL,CHASE RICE,0.606,0.652,9,-6.982,1,0.0281,0.323,0.0,0.201,0.476,97.155,182493,4
Colors,https://open.spotify.com/track/2BOUrjXoRIo2YHVAyZyXVX,BECK,0.656,0.871,11,-4.548,1,0.071,0.00106,0.0233,0.0828,0.683,119.997,261742,4
Rubbin off the Paint,https://open.spotify.com/track/6rZFgf3CfLfjDrm10bbfrR,YBN NAHMIR,0.522,0.453,1,-17.428,1,0.419,0.00957,0.0,0.228,0.388,108.004,156134,5
Unfinished Business,https://open.spotify.com/track/6m8lYXz8JgRdZAL9HuoX9z,MUMFORD & SONS,0.419,0.776,0,-5.397,1,0.0336,0.249,0.0,0.187,0.382,140.919,184118,4
"Lose Yourself - From ""8 Mile"" Soundtrack",https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ,EMINEM,0.701,0.728,2,-4.554,1,0.255,0.00971,0.00115,0.361,0.0591,171.388,326467,4
Seeing Blind,https://open.spotify.com/track/1CxLWO9XW1aK4yv7zViVdn,"NIALL HORAN, MAREN MORRIS",0.715,0.566,9,-7.536,1,0.0411,0.0375,0.0,0.107,0.509,93.998,185281,4
Too Much To Ask,https://open.spotify.com/track/4v094LQ9eF10k2O2Te2ngK,NIALL HORAN,0.519,0.554,0,-6.412,1,0.0385,0.381,0.0,0.115,0.194,153.676,223044,4
2,https://open.spotify.com/track/2YyNFk4HBKXrqgsvPDNJtO,H.E.R.,0.791,0.448,6,-7.4,0,0.147,0.313,0.0184,0.128,0.437,150.008,188987,4
bright pink tims (feat. Cam'ron),https://open.spotify.com/track/3njGbs1LCqSfxadxnG7M9z,"BLACKBEAR, CAM’RON",0.755,0.641,2,-7.087,0,0.0899,0.0401,0.0,0.677,0.298,115.015,228506,4
