Unnamed: 0,title,artist,url,title_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2265,Open,SAN FERMIN,https://open.spotify.com/track/6Y4RNg1iKKlf3hnag51WzA,6Y4RNg1iKKlf3hnag51WzA,0.493,0.728,1,-6.188,0,0.0414,0.155,0.41,0.0715,0.247,113.941,261453,3
3978,Paris,THE CHAINSMOKERS,https://open.spotify.com/track/15vzANxN8G9wWfwAJLLMCg,15vzANxN8G9wWfwAJLLMCg,0.646,0.644,2,-6.763,1,0.031,0.0243,0,0.0888,0.251,99.999,221520,4
3857,Issues,JULIA MICHAELS,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt,1sXUWdKx03aP9Gmzft58rt,0.683,0.427,8,-6.827,1,0.0777,0.368,0,0.0604,0.426,113.634,176347,4
3805,T-Shirt,MIGOS,https://open.spotify.com/track/2HgGPga67UQXWW2JLuYE6E,2HgGPga67UQXWW2JLuYE6E,0.865,0.687,10,-3.744,0,0.217,0.242,0,0.158,0.486,139.023,242407,4
4079,Not Afraid Anymore,HALSEY,https://open.spotify.com/track/57IT5XRc5ImuTqxwrFZFdd,57IT5XRc5ImuTqxwrFZFdd,0.547,0.734,5,-6.991,0,0.0654,0.00346,4.62e-05,0.136,0.42,131.994,226800,4
4081,No Reason,"BONOBO, NICK MURPHY",https://open.spotify.com/track/3aWPdd6U1xbsIEGEpUaPyQ,3aWPdd6U1xbsIEGEpUaPyQ,0.656,0.589,5,-12.332,0,0.0493,0.321,0.532,0.104,0.155,121.003,448984,4
4052,Repeat,"ALLAN RAYMAN, JESSIE REYEZ",https://open.spotify.com/track/2eIL9b2YyVTRxElEK68Tjs,2eIL9b2YyVTRxElEK68Tjs,0.776,0.294,3,-14.181,0,0.22,0.525,0.409,0.0683,0.222,135.974,225880,4
4053,Feeling Alive,EARL ST. CLAIR,https://open.spotify.com/track/33OEsXORoBqTp14FwhRckM,33OEsXORoBqTp14FwhRckM,0.627,0.822,4,-4.261,0,0.0958,0.259,0,0.356,0.775,180.035,191920,4
4060,Back For Me,ELECTRIC GUEST,https://open.spotify.com/track/18yUjxDE4lJlYzDYYtEJhX,18yUjxDE4lJlYzDYYtEJhX,0.717,0.664,4,-4.726,0,0.0279,0.0794,4.41e-05,0.0558,0.554,133.042,201627,4
4064,I Just Wanna,BIG WILD,https://open.spotify.com/track/4tPrsy2AujIOUxYd6ITOIz,4tPrsy2AujIOUxYd6ITOIz,0.608,0.852,4,-6.885,1,0.0419,0.0021,0.505,0.369,0.64,148.004,183243,4
4360,Down,MARIAN HILL,https://open.spotify.com/track/5eCkuGPZNl4mISFNPgr3Dd,5eCkuGPZNl4mISFNPgr3Dd,0.678,0.357,0,-14.712,0,0.128,0.675,0.00569,0.124,0.0661,113.301,197773,5
4363,Drew Barrymore,SZA,https://open.spotify.com/track/4Ni8k94lpdC6gzjXtUdzVw,4Ni8k94lpdC6gzjXtUdzVw,0.544,0.444,7,-9.291,0,0.0642,0.271,0,0.377,0.223,135.32,236444,4
4466,I Miss You,"GREY, BAHARI",https://open.spotify.com/track/4ANIyqDu9QunO1w6DqCDTJ,4ANIyqDu9QunO1w6DqCDTJ,0.697,0.767,4,-5.229,1,0.0949,0.368,0,0.119,0.679,102.034,192320,4
4601,Saved,KHALID,https://open.spotify.com/track/6Hf1P9AHMH3ngy73RVAUdm,6Hf1P9AHMH3ngy73RVAUdm,0.734,0.44,10,-10.246,0,0.172,0.231,0,0.0962,0.529,81.071,208982,4
5604,Moving On and Getting Over,JOHN MAYER,https://open.spotify.com/track/1CdEcheLJU6SgxnbFEj2WX,1CdEcheLJU6SgxnbFEj2WX,0.848,0.465,1,-9.029,0,0.0524,0.577,0.0543,0.101,0.621,94.02,261933,4
5605,On + Off,MAGGIE ROGERS,https://open.spotify.com/track/4JTbXALrXVYabZKZ9gr8M7,4JTbXALrXVYabZKZ9gr8M7,0.588,0.589,4,-7.22,1,0.0397,0.16,9.01e-06,0.418,0.223,129.873,221533,4
5529,You're Gonna Live Forever in Me,JOHN MAYER,https://open.spotify.com/track/2uuupTirBvf7iQ8mWN7v1O,2uuupTirBvf7iQ8mWN7v1O,0.509,0.132,7,-14.004,1,0.0322,0.985,0.0025,0.135,0.306,136.968,189320,4
5573,Changing,JOHN MAYER,https://open.spotify.com/track/0GWS6wkQrqZd0BAhq28haq,0GWS6wkQrqZd0BAhq28haq,0.349,0.338,0,-7.793,1,0.0292,0.62,0.00799,0.128,0.391,182.842,213933,3
5578,Sooner Or Later,AARON CARTER,https://open.spotify.com/track/4mqvE5F95nKSUrUvUH3YB7,4mqvE5F95nKSUrUvUH3YB7,0.737,0.729,5,-6.817,0,0.0354,0.127,2.16e-05,0.077,0.436,111.937,212564,4
5857,Nevermind,DENNIS LLOYD,https://open.spotify.com/track/3PHjgrovCBjQQl5Np5YQBy,3PHjgrovCBjQQl5Np5YQBy,0.421,0.472,10,-7.414,0,0.102,0.333,0,0.117,0.528,85.054,150471,4
5859,Electric (feat. Khalid),ALINA BARAZ,https://open.spotify.com/track/25wBlLDFcspzo9gBqvrQr3,25wBlLDFcspzo9gBqvrQr3,0.637,0.359,10,-9.841,0,0.0325,0.593,5.39e-05,0.108,0.142,111.049,245294,4
5849,I Give You Power,"ARCADE FIRE, MAVIS STAPLES",https://open.spotify.com/track/7aIjefMJSpmNVivRcS1unF,7aIjefMJSpmNVivRcS1unF,0.669,0.545,1,-9.232,1,0.106,0.0276,1.06e-05,0.261,0.317,95.605,223279,4
5765,Running Back (feat. Lil Wayne),WALE,https://open.spotify.com/track/4mAhZaSrcVD6cJWA6IqFrk,4mAhZaSrcVD6cJWA6IqFrk,0.792,0.675,2,-4.526,1,0.093,0.0722,0,0.143,0.11,127.076,215440,4
5837,Finessin The Rhythm,"FOREVER ANTI POP, DAVID SABASTIAN",https://open.spotify.com/track/7LEZF2s3iV1mmfJbPGZ4mb,7LEZF2s3iV1mmfJbPGZ4mb,0.777,0.756,7,-6.277,1,0.305,0.115,0,0.328,0.764,113.059,220840,4
6535,Straight Up,C5,https://open.spotify.com/track/4tOv1hyYZes16iYSj2qSCw,4tOv1hyYZes16iYSj2qSCw,0.704,0.796,4,-5.351,0,0.246,0.0394,0,0.334,0.664,77.376,202839,4
7523,Keep Running,TEI SHI,https://open.spotify.com/track/5k42EV7nhmL2CrfX4z2CKe,5k42EV7nhmL2CrfX4z2CKe,0.537,0.642,6,-7.106,0,0.0733,0.229,1.85e-05,0.0986,0.276,78.897,199320,4
7524,Sunday Finest,SIR ROSEVELT,https://open.spotify.com/track/7q06iElZYviXEQ7tw0o4SN,7q06iElZYviXEQ7tw0o4SN,0.685,0.878,2,-3.859,1,0.0407,0.0237,4.28e-05,0.0455,0.928,130.02,163200,4
7783,PRBLMS,6LACK,https://open.spotify.com/track/2wf9bp4MkChojtljddWpbO,2wf9bp4MkChojtljddWpbO,0.672,0.574,9,-4.663,1,0.0993,0.0303,2.02e-06,0.18,0.106,103.019,246773,4
8132,Show You The Way,"THUNDERCAT, MICHAEL MCDONALD, KENNY LOGGINS",https://open.spotify.com/track/6LzsF8g3MnyspvcPvlBcC3,6LzsF8g3MnyspvcPvlBcC3,0.699,0.515,0,-10.325,1,0.0669,0.145,0.094,0.102,0.609,75.988,214554,4
8067,Believer,IMAGINE DRAGONS,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,0CcQNd8CINkwQfe1RDtGV6,0.779,0.787,10,-4.305,0,0.108,0.0524,0,0.14,0.708,124.982,204347,4
9139,Believer,IMAGINE DRAGONS,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh,6VRghJeP6I0w1KxkdWFfIh,0.77,0.787,10,-4.402,0,0.113,0.0482,0,0.108,0.699,125.013,203782,4
9132,No Favors,"BIG SEAN, EMINEM",https://open.spotify.com/track/04h2uFDF3Ewr7orA6EDbQ3,04h2uFDF3Ewr7orA6EDbQ3,0.722,0.771,11,-5.5,1,0.32,0.634,1.75e-06,0.312,0.347,93.526,325840,4
9112,Shot Down,KHALID,https://open.spotify.com/track/58nciIyr5vKpUJkUXXkxCq,58nciIyr5vKpUJkUXXkxCq,0.769,0.511,6,-6.673,1,0.0609,0.885,0.000186,0.106,0.507,123.954,209185,4
9396,(No One Knows Me) Like the Piano,SAMPHA,https://open.spotify.com/track/5zOnoB8FdZudDcPX4O8WqF,5zOnoB8FdZudDcPX4O8WqF,0.621,0.199,10,-13.788,1,0.0344,0.976,0.00186,0.107,0.178,128.905,218160,4
9400,Thief,ANSEL ELGORT,https://open.spotify.com/track/3BtA1koBtnClfirgg4BpjI,3BtA1koBtnClfirgg4BpjI,0.592,0.741,1,-3.792,0,0.0842,0.0251,0,0.111,0.379,180.038,220680,4
9429,Love Is Mystical,COLD WAR KIDS,https://open.spotify.com/track/4RJnzmVL12aIuWpMoXu2u4,4RJnzmVL12aIuWpMoXu2u4,0.566,0.865,0,-5.082,0,0.0387,0.00506,1.31e-05,0.215,0.684,105.964,214373,4
9436,Body,SYD,https://open.spotify.com/track/0IaiJbZebXLqfetAkMEZzU,0IaiJbZebXLqfetAkMEZzU,0.88,0.507,1,-7.782,1,0.0921,0.0587,0.474,0.109,0.378,109.977,262053,4
9328,Lions,SKIP MARLEY,https://open.spotify.com/track/6LvVVRxgcgeQ6uzyk375LI,6LvVVRxgcgeQ6uzyk375LI,0.604,0.734,4,-4.553,0,0.0383,0.0535,0,0.171,0.139,120.02,208173,4
9759,My Old Man,MAC DEMARCO,https://open.spotify.com/track/2bbWBkiq2vH4Y7pjE0qYcW,2bbWBkiq2vH4Y7pjE0qYcW,0.663,0.578,1,-11.515,1,0.0333,0.649,0.37,0.0985,0.849,149.272,221653,4
10963,Chained To The Rhythm,"KATY PERRY, SKIP MARLEY",https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby,5ndfVSDyPq90jaIUhNPeby,0.446,0.793,0,-5.365,1,0.156,0.089,0,0.211,0.47,189.891,237915,4
10965,Don't Kill My Vibe,SIGRID,https://open.spotify.com/track/3irNpONYOfunwlUdj3WARO,3irNpONYOfunwlUdj3WARO,0.549,0.773,10,-4.823,1,0.105,0.248,6.89e-05,0.243,0.289,149.952,184320,4
11796,Mask Off,FUTURE,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8,3rOSwuTsUlJp0Pu0MkN8r8,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,4
12479,All On Me,DEVIN DAWSON,https://open.spotify.com/track/2Nc8Imt04W3ZmcBF8dPQKc,2Nc8Imt04W3ZmcBF8dPQKc,0.631,0.658,5,-5.313,1,0.0281,0.144,0,0.22,0.7,80.996,227573,4
12483,How Would You Feel (Paean),ED SHEERAN,https://open.spotify.com/track/1lyNFzcCl9kXCof6GV32fV,1lyNFzcCl9kXCof6GV32fV,0.617,0.439,9,-5.63,1,0.0269,0.424,0,0.127,0.242,139.979,280533,4
12487,Heavy (feat. Kiiara),LINKIN PARK,https://open.spotify.com/track/32bqxZEJRJObeNyc8bEiPt,32bqxZEJRJObeNyc8bEiPt,0.59,0.671,9,-6.098,1,0.0706,0.0484,0,0.0604,0.438,149.982,169801,4
12490,Some Way,"NAV, THE WEEKND",https://open.spotify.com/track/0bGVqUPZZ2owtWEyzIggQI,0bGVqUPZZ2owtWEyzIggQI,0.742,0.704,7,-6.161,1,0.316,0.0952,0,0.0805,0.346,154.907,178064,4
12953,Nobody Else but You,TREY SONGZ,https://open.spotify.com/track/2slbJay1LPdOafYYCTe5Ss,2slbJay1LPdOafYYCTe5Ss,0.698,0.611,5,-6.361,0,0.155,0.0371,0,0.246,0.228,139.972,228723,4
12944,Machine,MISTERWIVES,https://open.spotify.com/track/4HMNnAMODzVR2Hti9z98OA,4HMNnAMODzVR2Hti9z98OA,0.638,0.847,5,-3.932,0,0.0392,0.226,0,0.269,0.543,100.024,212480,4
12924,Love Incredible (feat. Camila Cabello),CASHMERE CAT,https://open.spotify.com/track/5f3FQBNEyJBquykRZwQITm,5f3FQBNEyJBquykRZwQITm,0.354,0.51,10,-8.849,0,0.157,0.0539,0,0.259,0.208,166.973,179145,4
12928,Suit And Jacket,JUDAH & THE LION,https://open.spotify.com/track/4SZqm48naZc6gACcw8ql0y,4SZqm48naZc6gACcw8ql0y,0.436,0.584,10,-8.523,1,0.0472,0.214,4.89e-05,0.101,0.109,164.141,222241,4
12930,High,LITTLE DRAGON,https://open.spotify.com/track/0UREuyMot9zc8aIuKDBvgk,0UREuyMot9zc8aIuKDBvgk,0.638,0.339,0,-10.563,1,0.0295,0.588,0.00273,0.106,0.563,78.976,256973,4
12932,Friend Zone,THUNDERCAT,https://open.spotify.com/track/1wkeAltJoidYXxaXOQZB6M,1wkeAltJoidYXxaXOQZB6M,0.59,0.83,1,-4.953,1,0.0353,0.268,0.00379,0.114,0.237,106.998,192511,4
12934,Nimble Bastard,INCUBUS,https://open.spotify.com/track/7we5iykuJBQKIBaRrsEjYT,7we5iykuJBQKIBaRrsEjYT,0.459,0.924,1,-4.475,0,0.063,0.000153,9.17e-06,0.212,0.49,89.92,221173,4
13232,Used to This (feat. Drake),FUTURE,https://open.spotify.com/track/3V8sM5OOG6YfDuDLa2IIYJ,3V8sM5OOG6YfDuDLa2IIYJ,0.618,0.727,3,-7.224,0,0.208,0.0312,0,0.196,0.401,164.992,180520,4
13300,Good Drank,"2 CHAINZ, GUCCI MANE, QUAVO",https://open.spotify.com/track/6aRlUgqcLgrxQE3RMngjN5,6aRlUgqcLgrxQE3RMngjN5,0.813,0.763,11,-1.199,0,0.281,0.281,0,0.107,0.362,130.074,225253,4
14263,Walk On By,"THUNDERCAT, KENDRICK LAMAR",https://open.spotify.com/track/7dvJwMrZ9OrgCjHvJWgMZB,7dvJwMrZ9OrgCjHvJWgMZB,0.828,0.302,8,-11.655,1,0.287,0.207,0,0.076,0.756,94.94,199137,4
14270,Still Feel Like Your Man,JOHN MAYER,https://open.spotify.com/track/3pdWCmUno1bWzYIdYwoiMM,3pdWCmUno1bWzYIdYwoiMM,0.861,0.593,2,-6.692,1,0.0683,0.512,0.0021,0.244,0.501,106.024,236693,4
14252,Stay,"ZEDD, ALESSIA CARA",https://open.spotify.com/track/6uBhi9gBXWjanegOb2Phh0,6uBhi9gBXWjanegOb2Phh0,0.69,0.622,5,-5.025,0,0.0622,0.253,0,0.116,0.544,102.04,210091,4
14230,A Fan's Mail (Tron Song Suite II),THUNDERCAT,https://open.spotify.com/track/4GyhoQHj94hFdKIixRNhEQ,4GyhoQHj94hFdKIixRNhEQ,0.491,0.655,2,-13.342,0,0.0924,0.829,0.507,0.113,0.339,191.467,158938,4
14240,Helpless,JOHN MAYER,https://open.spotify.com/track/3ooKsUCAz3EgEjZAPRwtCm,3ooKsUCAz3EgEjZAPRwtCm,0.765,0.597,9,-5.858,0,0.0267,0.149,0.00145,0.0341,0.935,103.968,248787,4
14241,Good Day (feat. DJ Snake & Elliphant),YELLOW CLAW,https://open.spotify.com/track/1VoLowJmACjY7SNDENKVIC,1VoLowJmACjY7SNDENKVIC,0.646,0.748,9,-5.469,0,0.0389,0.009,0,0.283,0.136,103.996,228342,4
14245,Tokyo,THUNDERCAT,https://open.spotify.com/track/44Kjgiyeib627UOEqW0oss,44Kjgiyeib627UOEqW0oss,0.365,0.69,11,-11.56,0,0.111,0.475,0.00286,0.216,0.65,151.362,144941,4
14250,Something Just Like This,"THE CHAINSMOKERS, COLDPLAY",https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH,1dNIEtp7AY3oDAKCGg2XkH,0.607,0.649,11,-6.695,0,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,247627,4
14707,American Teen,KHALID,https://open.spotify.com/track/16mOynxbHDGdGWKErK5LO5,16mOynxbHDGdGWKErK5LO5,0.658,0.623,0,-6.934,1,0.0398,0.0683,0,0.321,0.207,100.436,250747,4
